task,index,input_text,prompt,raw_response,parsed_label,gold_label,label_set,label_column_used,parse_error
qfrblimp,0,"Text 1: Le pain azyme des veillées familiales de la Pâque juive est mis à l'écart afin de ne le pas voir confondu avec d'autres aliments.
Text 2: Le pain azyme des veillées familiales de la Pâque juive est mis à l'écart afin de ne pas le voir confondu avec d'autres aliments.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Le pain azyme des veillées familiales de la Pâque juive est mis à l'écart afin de ne le pas voir confondu avec d'autres aliments.
Text 2: Le pain azyme des veillées familiales de la Pâque juive est mis à l'écart afin de ne pas le voir confondu avec d'autres aliments.

Réponse (0 ou 1) :",0,0,1,"[0, 1]",label,
qfrblimp,1,"Text 1: Tout le personnel administratif est prié de se rendre à la salle 1A.
Text 2: Tout le personnel clérical est prié de se rendre à la salle 1A.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Tout le personnel administratif est prié de se rendre à la salle 1A.
Text 2: Tout le personnel clérical est prié de se rendre à la salle 1A.

Réponse (0 ou 1) :",0,0,0,"[0, 1]",label,
qfrblimp,2,"Text 1: Je suis désolé, mais Monsieur a spécifié à son majordome qu’il ne voulait voir personne.
Text 2: Je suis désolé, mais Monsieur a spécifié à son majordome qu’il voulait voir personne.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Je suis désolé, mais Monsieur a spécifié à son majordome qu’il ne voulait voir personne.
Text 2: Je suis désolé, mais Monsieur a spécifié à son majordome qu’il voulait voir personne.

Réponse (0 ou 1) :",1,1,0,"[0, 1]",label,
qfrblimp,3,"Text 1: Ils firent bien attention de ne pas dévoiler les détails de l’entente.
Text 2: Ils firent bien attention à ne pas dévoiler les détails de l’entente.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Ils firent bien attention de ne pas dévoiler les détails de l’entente.
Text 2: Ils firent bien attention à ne pas dévoiler les détails de l’entente.

Réponse (0 ou 1) :",1,1,0,"[0, 1]",label,
qfrblimp,4,"Text 1: Après la partie, on a vu un tas de partisan envahir la rue pour célébrer la victoire.
Text 2: Après la partie, on a vu un tas de partisans envahir la rue pour célébrer la victoire.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Après la partie, on a vu un tas de partisan envahir la rue pour célébrer la victoire.
Text 2: Après la partie, on a vu un tas de partisans envahir la rue pour célébrer la victoire.

Réponse (0 ou 1) :",1,1,1,"[0, 1]",label,
qfrblimp,5,"Text 1: Elles sont rentrées épuisées après une longue randonnée.
Text 2: Elles sont rentrer épuisées après une longue randonnée.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Elles sont rentrées épuisées après une longue randonnée.
Text 2: Elles sont rentrer épuisées après une longue randonnée.

Réponse (0 ou 1) :",1,1,0,"[0, 1]",label,
qfrblimp,6,"Text 1: Les étudiants et étudiantes rédigent à leur thèse.
Text 2: Les étudiants et étudiantes rédigent leur thèse.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Les étudiants et étudiantes rédigent à leur thèse.
Text 2: Les étudiants et étudiantes rédigent leur thèse.

Réponse (0 ou 1) :",1,1,1,"[0, 1]",label,
qfrblimp,7,"Text 1: Accepteriez-vous de souscrire à un abonnement à notre magazine?
Text 2: Accepteriez-vous de souscrire un abonnement à notre magazine?","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Accepteriez-vous de souscrire à un abonnement à notre magazine?
Text 2: Accepteriez-vous de souscrire un abonnement à notre magazine?

Réponse (0 ou 1) :",1,1,0,"[0, 1]",label,
qfrblimp,8,"Text 1: Aucune déclaration de revenu est exigée des contribuables du Zimbabwe.
Text 2: Aucune déclaration de revenu n'est exigée des contribuables du Zimbabwe.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Aucune déclaration de revenu est exigée des contribuables du Zimbabwe.
Text 2: Aucune déclaration de revenu n'est exigée des contribuables du Zimbabwe.

Réponse (0 ou 1) :",0,0,1,"[0, 1]",label,
qfrblimp,9,"Text 1: Les ouvriers affectés à la réfection des principales artères de la ville sont certains de ne la pas terminer avant l’été 2022.
Text 2: Les ouvriers affectés à la réfection des principales artères de la ville sont certains de ne pas la terminer avant l’été 2022.","TÂCHE: Choix de la phrase grammaticale parmi deux versions (français – norme écrite, Québec).

ENTRÉE:
- Deux versions d'une même phrase sont données sous les étiquettes «Texte 1» et «Texte 2».

CONSIGNE:
- Choisir **la version grammaticalement correcte** au sens strict de la norme écrite.
- S'il arrive que les deux versions semblent acceptables, choisis celle qui respecte le mieux la norme (la plus idiomatique et sans faute). Si les deux sont inacceptables, choisis celle qui comporte le **moins** d'écarts par rapport à la norme.

CODAGE DES RÉPONSES:
- 0 = «Texte 1» est correct.
- 1 = «Texte 2» est correct.

FORMAT DE SORTIE:
- Réponds **uniquement** par un seul chiffre, sans rien d'autre: «0» ou «1».
- Aucun texte avant/après, aucune explication, aucun espace, aucune ponctuation, aucun guillemet.

Text 1: Les ouvriers affectés à la réfection des principales artères de la ville sont certains de ne la pas terminer avant l’été 2022.
Text 2: Les ouvriers affectés à la réfection des principales artères de la ville sont certains de ne pas la terminer avant l’été 2022.

Réponse (0 ou 1) :",1,1,1,"[0, 1]",label,
