task,index,input_text,prompt,raw_response,parsed_label,gold_label,label_set,label_column_used,parse_error
qfrcort,0,Adonner,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Adonner

OPTIONS:
0) Adonner veut dire préparer un plat typiquement québécois pour la famille.
1) Adonner veut dire se reposer après une longue journée de travail.
2) Adonner fait référence à donner des conseils à quelqu’un dans le besoin.
3) Pour parler de quelque chose qui se produit de façon fortuite, une coïncidence.
4) Adonner veut dire offrir un cadeau à une personne lors d’un événement spécial.
5) Adonner s’emploie pour parler d’aider quelqu’un à déménager.
6) Adonner signifie arranger ou organiser une fête surprise.
7) Adonner signifie prêter de l’argent à quelqu’un en confiance.
8) Adonner s’utilise pour expliquer qu’on s’entend bien avec quelqu’un.
9) Adonner désigne l’action de partager son repas avec un ami.

Réponse (chiffre seulement):",9,9,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,1,Ayoye!,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Ayoye!

OPTIONS:
0) Ce mot exprime la joie lorsqu’on reçoit un cadeau inattendu.
1) On utilise «Ayoye!» pour demander de l’aide dans une situation difficile.
2) On l’emploie pour dire au revoir de façon amicale entre amis proches.
3) C’est une salutation matinale typique entre voisins québécois.
4) «Ayoye!» est utilisé pour féliciter quelqu’un après une bonne nouvelle.
5) «Ayoye!» est souvent dit pour signaler qu’on a compris une blague.
6) Mélange de "" Aïe! "" et "" Ouille! "". On l'utilise pour exprimer l'étonnement ou la douleur.
7) On l’emploie pour indiquer qu’on a faim ou qu’on attend un repas.
8) C’est un mot qu’on dit pour encourager quelqu’un à essayer encore une fois.
9) C’est un cri de guerre traditionnel lors des matchs de hockey au Québec.

Réponse (chiffre seulement):",0,0,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,2,Bibittes,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Bibittes

OPTIONS:
0) Un mot typique et sympathique pour désigner des insectes et de petites bêtes.
1) Un type de bonbon acidulé vendu dans les dépanneurs.
2) Un accessoire vestimentaire porté lors du Carnaval de Québec.
3) Un surnom donné aux voitures anciennes en mauvais état.
4) Un mot pour parler des rumeurs ou des potins dans un village.
5) Un jeu de société populaire au Québec dans les années 1980.
6) Un outil de cuisine utilisé pour râper le fromage.
7) Une danse folklorique enseignée dans les écoles primaires québécoises.
8) Un plat traditionnel québécois à base de céréales et de sirop d’érable.
9) Un terme affectueux pour désigner les enfants turbulents.

Réponse (chiffre seulement):",9,9,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,3,Broche-à-foin,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Broche-à-foin

OPTIONS:
0) Broche-à-foin fait référence à un type de chapeau porté par les agriculteurs.
1) Se dit d'un objet mal conçu, mal fait, ou d'un évènement mal organisé.
2) Broche-à-foin désigne une ancienne monnaie d’échange utilisée dans les campagnes québécoises.
3) Broche-à-foin est le nom d’un dessert typiquement québécois à base de sirop d’érable et de foin.
4) Broche-à-foin qualifie une personne très organisée et méticuleuse.
5) Broche-à-foin est une expression utilisée pour parler d’un animal très robuste.
6) Broche-à-foin s’emploie pour décrire une journée exceptionnellement productive.
7) Broche-à-foin fait référence à une fête traditionnelle québécoise célébrée à la fin des récoltes.
8) Broche-à-foin est un terme affectueux pour parler d’un enfant turbulent.
9) Broche-à-foin désigne un outil utilisé pour réparer des vêtements en urgence.

Réponse (chiffre seulement):",9,9,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,4,Capoter,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Capoter

OPTIONS:
0) Capoter désigne l’action de manger rapidement un repas.
1) Ce mot peut avoir plusieurs sens selon le contexte. Il peut exprimer : une grande joie, un sentiment de colère, un sentiment d'anxiété ou d'impuissance.
2) Capoter signifie perdre son chapeau par un grand vent.
3) Capoter fait référence à marcher dans la neige fraîche.
4) Capoter veut dire raconter une blague qui ne fait pas rire.
5) Capoter veut dire faire une sieste après le dîner.
6) Capoter signifie visiter la famille pendant les vacances.
7) Capoter désigne l’habitude de changer fréquemment de travail.
8) Capoter signifie réparer une voiture endommagée.
9) Capoter veut dire acheter quelque chose sans le regarder.

Réponse (chiffre seulement):",9,9,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,5,Char,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Char

OPTIONS:
0) Fait référence à un chariot utilisé pour transporter des marchandises.
1) Désigne un animal de ferme, notamment un cheval.
2) Nom donné à une valise ou un sac de voyage.
3) Terme utilisé pour parler d'un bateau de pêche.
4) Exprime une quantité importante d'argent.
5) Mot utilisé pour parler d'un vêtement ample.
6) Fait référence à une voiture.
7) Désigne une boisson alcoolisée populaire au Québec.
8) Désigne une figure de parade lors du carnaval.
9) Se réfère à une machine agricole pour labourer les champs.

Réponse (chiffre seulement):",9,9,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,6,Dispendieux,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Dispendieux

OPTIONS:
0) Qui provoque un grand désordre.
1) Relatif à une grande rapidité d’exécution.
2) Qui nécessite beaucoup d’espace.
3) Très bruyant ou tumultueux.
4) Provoquant la somnolence.
5) Associé à la bonne humeur ou à la fête.
6) Extrêmement fragile ou délicat.
7) Très cher.
8) Facile à perdre ou à oublier.
9) Qui a une odeur forte et désagréable.

Réponse (chiffre seulement):",9,9,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,7,Épeurant,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Épeurant

OPTIONS:
0) Épeurant : se dit de quelqu’un qui raconte des histoires drôles.
1) Épeurant : terme utilisé pour décrire un aliment très épicé.
2) Épeurant : qualificatif pour un animal domestique affectueux.
3) Épeurant : décrit une situation où il fait extrêmement froid.
4) Épeurant : nom donné à une fête traditionnelle du Québec.
5) Épeurant : mot québécois désignant une personne très énergique.
6) Épeurant : adjectif indiquant une grande beauté ou élégance.
7) Épeurant : expression utilisée pour parler d’un objet rare et précieux.
8) Épeurant : terme employé pour qualifier une réussite étonnante.
9) Synonyme de "" effrayant "",décrit quelque chose ou quelqu'un qui fait peur.

Réponse (chiffre seulement):",9,9,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,8,S'enligner,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: S'enligner

OPTIONS:
0) Faire la lessive ou étendre du linge à l'extérieur.
1) Faire la fête toute la nuit avec des amis.
2) S'habiller élégamment pour une occasion spéciale.
3) Changer d'avis au dernier moment sur une décision importante.
4) Commencer à parler d'un nouveau sujet lors d'une conversation.
5) S'asseoir en ligne avec d'autres personnes pour attendre son tour.
6) Prendre une pause pour réfléchir à ses actions passées.
7) Se diriger vers un but ou se préparer à quelque chose.
8) Écrire une lettre à un proche éloigné.
9) Se mettre en colère contre quelqu'un sans raison apparente.

Réponse (chiffre seulement):",9,9,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
qfrcort,9,Jaser,"TÂCHE: Question à choix multiple sur le français québécois.

CONSIGNE: Choisir la bonne réponse parmi les options (0 à 9).
Répondre UNIQUEMENT avec le chiffre correspondant.

ÉNONCÉ: Jaser

OPTIONS:
0) Conduire une motoneige sur les sentiers enneigés.
1) Se promener lentement dans les rues du quartier.
2) Faire des grimaces pour amuser les enfants.
3) Essayer de deviner la météo du lendemain.
4) Chanter une chanson populaire lors d’une fête.
5) Discuter de choses diverses et sans importance, bavarder, placoter.
6) Réparer un objet cassé avec des outils de fortune.
7) Préparer un plat traditionnel à base de sirop d’érable.
8) Ramasser des bleuets dans la forêt en été.
9) Peindre la clôture de la maison en famille.

Réponse (chiffre seulement):",9,9,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",correct_index,
