task,index,input_text,prompt,raw_response,parsed_label,gold_label,label_set,label_column_used,parse_error
paws_x,0,"PHRASE 1: L'exception était entre fin 2005 et 2009 lorsqu'il a joué en Suède avec le Carlstad United BK, en Serbie avec le FK Borac Čačak le russe FC Terek Grozny.
PHRASE 2: La seule exception était entre la fin de 2005 et 2009, lorsqu'il joua en Suède avec le Carlstad United BK, en Serbie avec le FK Borac Čačak et le russe FC Terek Grozny.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,1,"PHRASE 1: La rivière Tabaci est un affluent de la rivière Leurda en Roumanie.
PHRASE 2: La rivière Leurda est un affluent de la rivière Tabaci en Roumanie.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,2,"PHRASE 1: Il a joué avec les Kane County Cougars de niveau A en 1993 et les AA Portland Sea Dogs.
PHRASE 2: Il a joué en 1993 avec les Sea Dogs de Portland de niveau A et les AA Kane County Cougars.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,3,"PHRASE 1: Winarsky est un membre de l'IEEE, Phi Beta Kappa, l'ACM et Sigma Xi.
PHRASE 2: Winarsky est membre de l'ACM, l'IEEE, le Phi Beta Kappa et le Sigma Xi.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,4,"PHRASE 1: En 1938, il devint l'anthropologue gouvernemental du Soudan anglo-égyptien et dirigea les travaux sur le terrain avec les Noubas.
PHRASE 2: En 1938, il devint l'anthropologue de la gouvernance égypto-anglo-soudanaise et conduisit des travaux sur le terrain avec les Nouba.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,5,"PHRASE 1: Billy Billy Batson est apparu dans les quatre premiers numéros de "" Black Adam "", publié entre fin 2008 et début 2009.
PHRASE 2: Black Asam est apparu dans les quatre premiers numéros de ""Billy Batson"", publié entre fin 2008 et début 2009.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,6,"PHRASE 1: La réponse solaire à ce besoin consiste à utiliser des panneaux solaires dans un avion à propulsion conventionnelle.
PHRASE 2: L’approche solaire de cette exigence consiste à utiliser des panneaux solaires dans un avion à alimentation conventionnelle.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,7,"PHRASE 1: La police a également interrogé le chanteur Rimi Tomy et l'acteur Kavya Madhavan, deux amis proches de Siddique et de sa femme Dileep, dans le cadre de l'enquête en cours.
PHRASE 2: La police a également interrogé la chanteuse Rimi Tomy et l'actrice Kavya Madhavan, toutes deux amies proches de Siddique et sa femme Dileep, dans le cadre de l'enquête en cours.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,8,"PHRASE 1: Ils sont recouverts par une musique orchestrale minimaliste live consistant en des sons vagues, presque délibérément incolores.
PHRASE 2: Ils sont superposés avec de la musique sans couleur, jouée en direct, et consistent en des sons orchestraux vagues, presque délibérément clairsemés.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,9,"PHRASE 1: Holly a été musicalement influencé par Elton John.
PHRASE 2: Elton John influença musicalement Holly Holly.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,10,"PHRASE 1: L'équipe a réagi aux changements lors du match suivant le soir même, le 19 février.
PHRASE 2: L'équipe a réagi aux changements au cours du même match le 19 février suivant au soir.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,11,"PHRASE 1: Les Nashua Silver Knights, qui font partie de la ligue d’été actuelle, constituent l’équipe collégiale de la ville.
PHRASE 2: Les Nashua Silver Knights, membres d’une ligue collégiale d’été, constituent l’équipe actuelle de la ville.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,12,"PHRASE 1: Le "" Fallbeil "" fut utilisé pour la dernière fois en Allemagne de l'Ouest en 1949 et en Allemagne de l'Est en 1966.
PHRASE 2: Le "" Fall Beil "" a été utilisé pour la dernière fois en Allemagne de l'Ouest en 1949 et en 1966 en Allemagne de l'Est.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,13,"PHRASE 1: Le canal est l'un des plus anciens canaux navigables d'Europe et de Belgique.
PHRASE 2: Le canal est l'un des plus anciens canaux navigables en Belgique et également en Europe.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,14,"PHRASE 1: En 2009, il retourna à Philadelphie et vit aujourd'hui à New York.
PHRASE 2: Il est retourné à Philadelphie en 2009 et vit maintenant à New York.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,15,"PHRASE 1: Il est décédé d'un cancer de l'estomac le 30 juin 1954 à Claremore, dans l'Oklahoma, à New York, où se trouve le mémorial Lynn RIggs.
PHRASE 2: Il est décédé le 30 juin 1954 d'un cancer de l'estomac à New York, à Claremore, Oklahoma abrite le mémorial Lynn Riggs.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,16,"PHRASE 1: Stipsits est né à Korneuburg, en Allemagne, et a passé son enfance à Stammersdorf, à Vienne.
PHRASE 2: Stipsits est né à Korneuburg et passa son enfance à Stammersdorf, Vienne.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,17,"PHRASE 1: La dynastie Keita a régné au Mali pré-impérial et impérial du 12ème jusqu'au début du 17ème siècle.
PHRASE 2: La dynastie Keita a dirigé le Mali du 12ème siècle jusqu'au début du 17ème siècle, pré-impérial et impérial.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,18,"PHRASE 1: ""Angel Eyes"" est une chanson populaire de 1946 composée par Matt Dennis et avec des paroles par Earl Brent.
PHRASE 2: ""Angel Eyes"" est une chanson populaire composée par Earl Brent en 1946, avec des textes de Matt Dennis.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,19,"PHRASE 1: La musique a été écrite par Shyam et les paroles composées par Sreekumaran Thampi et Sathyan Anthikkad.
PHRASE 2: La musique a été écrite par Shyam et les paroles par Sreekumaran Thampi et Sathyan Anthikkad l'a composée.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,20,"PHRASE 1: Le film fut un succès commercial, et l’un des films les plus réussis et les moins politiques de Sergio Sollima que les westerns spaghetti de l’ancien réalisateur.
PHRASE 2: Le film fut un succès commercial, et l’un des films les plus politiques de Sergio Sollima, et moins couronné de succès que les anciens westerns spaghetti du réalisateur.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,21,"PHRASE 1: Kabir demande à Sarika de dévoiler son plan pour mettre fin au jeu de Ranvir.
PHRASE 2: Kabir demande à Sarika de lui révéler son plan pour mettre fin au jeu de Ranvir.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,22,"PHRASE 1: L'équipe a répondu aux changements lors du match suivant au soir même, le 19 février.
PHRASE 2: L'équipe a répondu aux changements lors du même jeu qui a eu lieu dans la soirée suivante de février.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,23,"PHRASE 1: Le lieutenant John Gedge les a commandité en mer du Nord en mai 1805 et le lieutenant Robert Ramsey l'a remplacé en 1806.
PHRASE 2: Le lieutenant Robert Ramsey la commanda en mer du Nord en mai 1805 et le lieutenant John Gedge le remplaça en 1806.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,24,"PHRASE 1: Emma Townshend est représentée par David Godwin de chez DGA Associates.
PHRASE 2: David David Godwin est représenté chez DGA Associates par Emma Townshend.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,25,"PHRASE 1: Les Nashua Silver Knights, qui font partie d'une ligue universitaire d'été, sont l'équipe actuelle de la ville.
PHRASE 2: Les Nashua Silver Knights, membres d’une ligue d’été actuelle, constituent l’équipe collégiale de la ville.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,26,"PHRASE 1: À partir de l'extrémité ouest du pont, la route 268 de Pennsylvanie mène au sud à Parker et au nord à Emlenton.
PHRASE 2: La route 268 de Pennsylvanie mène de l'extrémité ouest du pont au sud à Parker et au nord à Emlenton.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,27,"PHRASE 1: Ces derniers étaient fréquents au Royaume-Uni, mais en Europe, du moins pour les grandes locomotives, c'est relativement rare.
PHRASE 2: Ceux-ci étaient rares au Royaume-Uni, mais en Europe, du moins pour les grandes locomotives, ils étaient plutôt courants.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,28,"PHRASE 1: Alston est né le 21 décembre 1965 à Oxon Hill, dans le Maryland. Il est allé à la Oxon Hill High School, à New Haven, dans le Connecticut.
PHRASE 2: Il est né le 21 décembre 1965 à Oxon Hill, dans le Maryland, et est allé au lycée à New Haven, dans le Connecticut.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,29,"PHRASE 1: Les pertes américaines totales ont été de 28 morts, alors que les pertes du Viêt-Cong ont été de 345 morts et une estimation de 192 victimes de plus.
PHRASE 2: Au total, 28 victimes américaines furent tuées, alors que les pertes subies par les Viet Cong furent de 345 et de 192 tués estimés d'autre part.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,30,"PHRASE 1: En Californie, le titre de comptable agréé (Sri Lanka Sri Lanka) ne peut être utilisé que par des membres de l'Institut des comptables sri-lankais.
PHRASE 2: Dans le CA, le titre de comptable agréé (Sri Lanka Sri Lanka) ne peut être utilisé que par les membres de l'Institut des comptables agréés du Sri Lanka.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,31,"PHRASE 1: Simyo appartient au groupe de télécommunications néerlandais KPN, après l’acquisition du reliquat d’E-Plus le 14 mars.
PHRASE 2: Suite à l'acquisition du reste d'E-Plus le 14 mars, Simyo appartient au groupe néerlandais de télécommunications KPN.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,32,"PHRASE 1: Outre Kuykendall, Robert White et Joshua Soule Zimmerman ont exercé les fonctions de délégué à la chancellerie pour le comté de Hampshire.
PHRASE 2: Robert White et Joshua Soule Zimmerman ont servi aux côtés de Kuykendall en tant que commissaire à la chancellerie pour le comté de Hampshire.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,33,"PHRASE 1: Ces opinions ont souvent été exprimées pendant l'émergence des mouvements protestants, puritains et évangéliques.
PHRASE 2: Ces points de vue ont souvent été exprimés lors de l'émergence des mouvements évangéliques, puritains et protestants.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,34,"PHRASE 1: La Coupe UEFA de 1973 - 74 a été remportée par Feyenoord Rotterdam contre Tottenham Hotspur 4 à 2.
PHRASE 2: Feyenoord Rotterdam remporta la Coupe UEFA 1973-1974 contre Tottenham Hotspur 4 - 2 au total.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,35,"PHRASE 1: Talfourd Ely était le petit-fils de John Towill Rutt, qui était un vieil ami de Crabb Robinson.
PHRASE 2: Talfourd Ely était le petit fils de Crabb Robinson, qui était un des premiers amis de John Towill Rutt.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,36,"PHRASE 1: Son père mourut pendant sa jeunesse et sa mère, Samuel Adams, épousa Catherine A. Fagan en 1842, qui devint deux ans plus tard gouverneur de l'Arkansas.
PHRASE 2: Son père mourut pendant sa jeunesse et sa mère, Catherine A. Fagan, épousa Samuel Adams en 1842, qui devint gouverneur de l'Arkansas deux ans plus tard.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,37,"PHRASE 1: Ils ont aussi sorti la seconde piste de l'album ""Vices"", comme 5ème single de l'album le 13 juin.
PHRASE 2: Ils ont aussi sorti le second titre de l'album, ""Vices"", le 13 juin comme 5ème single de l'album.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,38,"PHRASE 1: Le conseil de Sydney Water a pris le contrôle de l'approvisionnement en eau de Sydney du Conseil municipal en 1888.
PHRASE 2: En 1888, la Compagnie des eaux de Sydney a repris l'approvisionnement en eau de la ville de Sydney des mains du conseil municipal.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,39,"PHRASE 1: Cai Feng avait aussi un fils, Cai Mao.
PHRASE 2: Cai Mao a aussi un fils Cai Feng.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,40,"PHRASE 1: Ses feuilles sont formées alternativement le long des branches et sont disposées en forme de lance, d'oeuf ou presque circulaire et ont une longue tige.
PHRASE 2: Ses feuilles sont disposées alternativement le long des branches et sont lancéolées, en forme d’œuf ou presque circulaire et sont pourvues d'une longue tige.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,41,"PHRASE 1: Cela élargit la zone de conflit entre le Massachusetts et la province de Rhode Island.
PHRASE 2: Cela a élargi la zone de conflit entre Rhode Island et la province du Massachusetts.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,42,"PHRASE 1: Le Slough High School était un lycée sélectif pour filles dans le Berkshire, désormais Slough, dans le Buckinghamshire.
PHRASE 2: Slough High School était un établissement d'enseignement secondaire sélectif pour filles à Slough au Buckinghamshire, devenu Berkshire .",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,43,"PHRASE 1: Il est proche de Lough Corrib sur la route N59 vers Oughterard et Clifden, au Connemara.
PHRASE 2: Il se trouve près d'Oughterard et de Clifden, sur la route N59 menant à Lough Corrib, dans le Connemara.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,44,"PHRASE 1: Même si l'exclusion des joueurs noirs n'était pas une règle écrite, aucun afro-américain ne joua dans la Ligue nationale de football depuis 1933.
PHRASE 2: Même si l'exclusion des joueurs africains n'était pas une règle écrite, aucun joueur noir américain de la Ligue nationale de football ne joua depuis 1933.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,45,"PHRASE 1: Muawiyah est arrivé au pouvoir après la mort d'Ali et a établi une dynastie.
PHRASE 2: Suite à la mort de Muawiyah, Ali est monté au pouvoir et a fondé une dynastie.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,46,"PHRASE 1: En 1994, Rodrigo Leão quitta le groupe pour se lancer dans une carrière solo. Il fut remplacé par Carlos Maria Trindade (au synthétiseur).
PHRASE 2: En 1994, Rodrigo Leão quitta le groupe pour se lancer dans une carrière solo, remplacé par Carlos Maria Trindade (au synthétiseur à clavier).",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,47,"PHRASE 1: En 1933, Cattell écrivait que, de toutes les races nordiques, ""la race européenne était la plus évoluée en termes d'intelligence et de stabilité de tempérament"".
PHRASE 2: En 1933, Cattell écrivait que parmi toutes les races nordiques, ""la race européenne était du point de vue de l'intelligence et de la stabilité de tempérament la plus développée"".",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,48,"PHRASE 1: L'Abies lasiocarpa, communément appelé le sapin de l'ouest de l'Amérique du Nord ou le sapin des Rocheuses, est un sapin subalpin.
PHRASE 2: L'abies lasiocarpa, plus connu sous le nom de sapin d'Amérique du Nord ou de sapin Rocky Mountain, est un sapin subalpin.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,49,"PHRASE 1: American Motors n'a fourni qu'un soutien technique sous la forme d'une aide limitée.
PHRASE 2: American Motors n'a fourni qu'un soutien technique sous la forme d'une aide limitée.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,50,"PHRASE 1: Le Houston Main Building (HMB), auparavant le Prudential Building, était un gratte-ciel au Texas Medical Center à Houston, au Texas.
PHRASE 2: Le Houston Main Building (HMB), anciennement le Prudential Building, était un gratte-ciel du Texas Medical Center, à Houston, au Texas.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,51,"PHRASE 1: Après être retourné à Paramaribo en 1954, il s'installa comme avocat au Suriname.
PHRASE 2: Après être revenu au Suriname en 1954, il s'installa à Paramaribo en tant qu’avocat.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,52,"PHRASE 1: Le crash du vol 4544 d'Aerosucre a été le premier incident d'aviation impliquant Aerosucre, le second étant le crash d'un autre Boeing 727 le 18 novembre 2006.
PHRASE 2: L’accident du vol Aerosucre 4544 était le deuxième incident impliquant Aerosucre, le premier ayant été le crash d'un autre Boeing 727 survenu le 18 novembre 2006.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,53,"PHRASE 1: L'épisode The Cabot Trail a été filmé à Cap-Breton, dont Peggys Cove et le plateau de Nouvelle-Écosse, le long de la côte est.
PHRASE 2: L'épisode de la côte est a été tourné en Nouvelle-Écosse, notamment à Peggy's Cove et dans les hautes terres du Cap-Breton, le long de la piste Cabot.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,54,"PHRASE 1: Une autre façon de réguler la population de cerfs consiste à contrôler le taux de natalité.
PHRASE 2: Une autre façon de réguler la population de cerfs consiste à contrôler le taux de natalité.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,55,"PHRASE 1: Le poème est conservé dans quatre manuscrits incomplets, dont l'un est contemporain.
PHRASE 2: Le poème est conservé dans quatre manuscrits contemporains, dont l'un est incomplet :",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,56,"PHRASE 1: Manu Chao , les groupes "" Air "", Cassius, Mars IV, Les Négresses Vertes, FFF et Howie B ont également participé à l'album.
PHRASE 2: Les groupes ""Air"", Howie B, Mars IV, Les Négresses Vertes, FFF et Manu Chao participèrent également à l’album.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,57,"PHRASE 1: La rivière Hudeasa est un affluent de la rivière Bradu en Roumanie.
PHRASE 2: La rivière Hudeasa est un affluent de la rivière Bradu, en Roumanie.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,58,"PHRASE 1: Même si l'exclusion des joueurs africains n'était pas une règle écrite, aucun joueur noir américain de la Ligue nationale n'avait joué depuis 1933.
PHRASE 2: Même si l'exclusion des joueurs noirs n'était pas une règle écrite, depuis 1933, aucun Afro-Américain ne joua dans la Ligue Nationale de Football.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,59,"PHRASE 1: Son père, Patrick Byrne, était député, TD, sénateur et maire de Dublin. Son autre frère, Alfie Byrne, était aussi un TD.
PHRASE 2: Son père, Patrick Byrne, était un délégué, sénateur et maire de Dublin, un autre frère, Alfie Byrne, était aussi TD.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,60,"PHRASE 1: La première série a été mieux reçue par la critique que la seconde.
PHRASE 2: La seconde série a été bien accueillie par la critique, mieux que la première.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,61,"PHRASE 1: Fanwood se trouve dans le 12e district parlementaire et fait partie du 22e district législatif du New Jersey.
PHRASE 2: Fanwood se trouve dans le 22e district du Congrès et fait partie du 12e district législatif de l'État du New Jersey.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,62,"PHRASE 1: Santa Cruz se situe sur les rives de la rivière Santa Cruz qui se jette dans la partie est de la Laguna de Bay.
PHRASE 2: Le Laguna de Bay se trouve sur les rives de la rivière Santa Cruz, qui se jette dans la partie orientale de Santa Cruz.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,63,"PHRASE 1: La Porte de Vincennes se situe à l'intersection du coin sud-est du 20e arrondissement et du coin nord-est du 12e arrondissement de Paris.
PHRASE 2: La porte de Vincennes se trouve à la jonction du coin nord-est du 12e arrondissement et du sud-est du 20e arrondissement de Paris.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,64,"PHRASE 1: Le 5 mars 2011, MTV Hive a publié un lien de diffusion en continu de l'interprétation de ""Rude Boy"" de Rihanna par Anni Rossi.
PHRASE 2: Le 5 mars 2011, MTV Hive a posté un lien de transmission en continu à Rihanna, interprétant Anni Rossie ""Rude Boy"".",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,65,"PHRASE 1: Le roi Qi rencontra le roi Zhao de Qin dans l'ouest de Zhou en 284 av. J.-C. afin de former une alliance contre Xi.
PHRASE 2: En 284 av. J.-C., King Qi rencontra King Zhao de Qin en Zhou de l'ouest pour former une alliance contre Xi.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,66,"PHRASE 1: La région administrative de Chenzhou pendant la dynastie Tang est sous administration du Henan moderne à l'est de Zhoukou :
PHRASE 2: La région administrative de Chenzhou durant la dynastie Tang est sous l'administration de l'Henan moderne à l'est de Zhoukou :",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,67,"PHRASE 1: "" Pur "" signifie "" simplement "", et "" Belter "" ou "" Belta "" signifie "" très bien "" ou "" bien "".
PHRASE 2: ""Pure"" signifie simplement beaucoup et ""Belter"" ou ""Belta"" signifie bon ou gros.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,68,"PHRASE 1: Stephen Stephen s'est marié le 29 août 1806 à Elizabeth Core par Benjamin Hough, juge de paix du comté de Jefferson.
PHRASE 2: ""2"" Benjamin Hough s'est marié le 29 août 1806 avec Stephen Core, juge de paix du comté de Jefferson, avec Elizabeth Core.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,69,"PHRASE 1: L'espèce fut officiellement décrite pour la première fois par le botaniste Stephan Endlicher en 1846 dans le cadre des travaux de Johann Georg Christian Lehmann ""Iridae. Plantae Preissianae"".
PHRASE 2: L'espèce a été officiellement décrite pour la première fois en 1846 par le botaniste Stephan Endlicher dans le cadre de l'ouvrage "" Irideae Plantae Preissianae "" de Johann Georg Christian Lehmann.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,70,"PHRASE 1: En 1912, le Congrès national indien tint sa 27e session à Bankipore sous la présidence de Rao Bahadur Raghunath Narasinha Mudholkar d'Amravati, des provinces centrales et du Berar.
PHRASE 2: En 1912, le Congrès national indien tint sa 27ème session à Bankipore, sous la présidence de Rao Bahadur Raghunath Narasinha Mudholkar depuis les provinces centrales d'Amravati et de Berar.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,71,"PHRASE 1: La fibre animale la plus couramment utilisée est la laine prélevée chez le mouton. Pour le tricot à la main et le tricot de loisir, on file fréquemment des fils épais de laine et d’acrylique .
PHRASE 2: La fibre animale la plus fréquemment filée est la laine de mouton. Pour le tricot à la main et le tricot de loisir, on utilise souvent de la laine épaisse et des fils acryliques.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,72,"PHRASE 1: La Tipico Co. Ltd et Tipico Casino Ltd ont été fondées en 2004 en tant qu'entreprises commerciales internationales inscrites au registre du commerce de la Malta Financial Services Authority.
PHRASE 2: Tipico Co. Ltd et Tipico Casino Ltd furent créées en 2004 en tant que sociétés commerciales internationales inscrites au registre du commerce de la Malta Financial Services Authority.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,73,"PHRASE 1: Il est proche de Lough Corrib, sur la route N59 vers Oughterard et Clifden, dans le Connemara.
PHRASE 2: Il se situe près d'Oughterard et de Clifden, sur la route N59 vers Lough Corrib, dans le Connemara.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,74,"PHRASE 1: Le 14 septembre 2006, Lang a signé avec les Wizards de Washington et a été libéré par les Wizards en juillet 2017.
PHRASE 2: Le 14 septembre 2006, Lang signa avec les Wizards de Washington. En juillet 2017, Land était libéré par les Wizards.",,ERROR: 'str' object has no attribute 'get',0,1,"[0, 1]",label,
paws_x,75,"PHRASE 1: Le single est sorti sur Radio Airplay en Italie le 12 octobre 2012 et envoyé dans le monde entier le 3 décembre 2012.
PHRASE 2: Le single a été envoyé en diffusion à la radio le 12 octobre 2012 en Italie et est sorti dans le monde entier le 3 décembre 2012.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
paws_x,76,"PHRASE 1: Après son service, Lockhart a vécu au Texas mais a récemment déménagé en Floride.
PHRASE 2: Après son service, Lockhart vécut en Floride, mais déménagea récemment au Texas.",,ERROR: 'str' object has no attribute 'get',0,0,"[0, 1]",label,
